"Observation Type",Site,Lat,Lon,Region,MPA,Year,Date,Transect,Depth,Distance,Species,"Min Size (cm)","Max Size (cm)",Count
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2007,2007-08-19,5,9,8,"purple urchin",,,50
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2007,2007-08-19,6,9,13,"purple urchin",,,50
Invertebrate,"Abalone Cove",33.736149,-118.37632,South,"Abalone Cove SMCA",2007,2007-09-29,1,9,23,"purple urchin",,,50
Invertebrate,"Abalone Cove",33.736149,-118.37632,South,"Abalone Cove SMCA",2007,2007-09-29,2,9,20,"purple urchin",,,50
Invertebrate,"Abalone Cove",33.736149,-118.37632,South,"Abalone Cove SMCA",2007,2007-09-29,3,9,15,"purple urchin",,,53
Invertebrate,"Abalone Cove",33.736149,-118.37632,South,"Abalone Cove SMCA",2007,2007-09-29,4,9,2,"purple urchin",,,50
Invertebrate,"Abalone Cove",33.736149,-118.37632,South,"Abalone Cove SMCA",2007,2007-09-29,5,9,3,"purple urchin",,,58
Invertebrate,"Abalone Cove",33.736149,-118.37632,South,"Abalone Cove SMCA",2007,2007-09-29,6,9,5,"purple urchin",,,57
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-10-02,1,15,30,"purple urchin",,,0
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-10-02,2,15,30,"purple urchin",,,13
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-10-02,3,15,30,"purple urchin",,,1
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-10-02,4,15,30,"purple urchin",,,0
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-10-02,5,15,30,"purple urchin",,,0
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-10-02,6,15,30,"purple urchin",,,0
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-05-19,1,12,30,"purple urchin",,,0
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-05-19,2,12,30,"purple urchin",,,2
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-05-19,3,12,30,"purple urchin",,,2
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-05-19,4,12,30,"purple urchin",,,1
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-05-19,5,12,30,"purple urchin",,,0
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-05-19,6,12,30,"purple urchin",,,0
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-07-28,1,11,30,"purple urchin",,,0
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-07-28,2,11,30,"purple urchin",,,3
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-07-28,3,11,30,"purple urchin",,,0
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-07-28,4,11,30,"purple urchin",,,1
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-07-28,5,11,30,"purple urchin",,,0
Invertebrate,Aquarium,36.619232,-121.899414,Central,"Edward F. Ricketts SMCA",2007,2007-07-28,6,11,30,"purple urchin",,,5
Invertebrate,"Big Creek",36.069183,-121.600601,Central,"Big Creek SMR",2007,2007-08-18,1,14,30,"purple urchin",,,0
Invertebrate,"Big Creek",36.069183,-121.600601,Central,"Big Creek SMR",2007,2007-08-18,2,14,30,"purple urchin",,,0
Invertebrate,"Big Creek",36.069183,-121.600601,Central,"Big Creek SMR",2007,2007-08-18,3,14,30,"purple urchin",,,0
Invertebrate,"Big Creek",36.069183,-121.600601,Central,"Big Creek SMR",2007,2007-08-18,4,14,30,"purple urchin",,,0
Invertebrate,"Big Creek",36.069183,-121.600601,Central,"Big Creek SMR",2007,2007-08-18,5,14,30,"purple urchin",,,0
Invertebrate,"Big Creek",36.069183,-121.600601,Central,"Big Creek SMR",2007,2007-08-18,6,14,30,"purple urchin",,,0
Invertebrate,"Big Rock",34.035168,-118.608086,South,"Point Dume SMR",2007,2007-10-07,1,8,30,"purple urchin",,,7
Invertebrate,"Big Rock",34.035168,-118.608086,South,"Point Dume SMR",2007,2007-10-07,2,8,30,"purple urchin",,,1
Invertebrate,"Big Rock",34.035168,-118.608086,South,"Point Dume SMR",2007,2007-10-07,3,8,30,"purple urchin",,,4
Invertebrate,"Big Rock",34.035168,-118.608086,South,"Point Dume SMR",2007,2007-10-07,4,8,30,"purple urchin",,,3
Invertebrate,"Big Rock",34.035168,-118.608086,South,"Point Dume SMR",2007,2007-10-07,5,8,30,"purple urchin",,,1
Invertebrate,"Big Rock",34.035168,-118.608086,South,"Point Dume SMR",2007,2007-10-07,6,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2006,2006-10-05,1,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2006,2006-10-05,2,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2006,2006-10-05,3,8,30,"purple urchin",,,8
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2006,2006-10-05,4,8,30,"purple urchin",,,3
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2006,2006-10-05,5,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2006,2006-10-05,6,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-06-08,1,8,30,"purple urchin",,,8
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-06-08,2,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-06-08,3,8,30,"purple urchin",,,1
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-06-08,4,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-06-08,5,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-06-08,6,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-08-24,1,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-08-24,2,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-08-24,3,8,30,"purple urchin",,,3
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-08-24,4,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-08-24,5,8,30,"purple urchin",,,0
Invertebrate,Breakwater,36.610451,-121.894333,Central,"Edward F. Ricketts SMCA",2007,2007-08-24,6,8,30,"purple urchin",,,0
Invertebrate,"Broomtail Reef",32.694233,-117.268066,South,"Cabrillo SMR",2007,2007-10-14,1,12,30,"purple urchin",,,30
Invertebrate,"Broomtail Reef",32.694233,-117.268066,South,"Cabrillo SMR",2007,2007-10-14,2,12,30,"purple urchin",,,81
Invertebrate,"Broomtail Reef",32.694233,-117.268066,South,"Cabrillo SMR",2007,2007-10-14,3,12,30,"purple urchin",,,79
Invertebrate,"Broomtail Reef",32.694233,-117.268066,South,"Cabrillo SMR",2007,2007-10-14,4,12,30,"purple urchin",,,37
Invertebrate,"Broomtail Reef",32.694233,-117.268066,South,"Cabrillo SMR",2007,2007-10-14,5,12,30,"purple urchin",,,7
Invertebrate,"Broomtail Reef",32.694233,-117.268066,South,"Cabrillo SMR",2007,2007-10-14,6,12,30,"purple urchin",,,6
Invertebrate,"Carmel River",36.539082,-121.935097,Central,"Carmel Bay SMCA",2007,2007-06-16,1,18,30,"purple urchin",,,0
Invertebrate,"Carmel River",36.539082,-121.935097,Central,"Carmel Bay SMCA",2007,2007-06-16,2,18,30,"purple urchin",,,0
Invertebrate,"Carmel River",36.539082,-121.935097,Central,"Carmel Bay SMCA",2007,2007-06-16,3,18,30,"purple urchin",,,-
Invertebrate,"Carmel River",36.539082,-121.935097,Central,"Carmel Bay SMCA",2007,2007-06-16,4,18,30,"purple urchin",,,0
Invertebrate,"Carmel River",36.539082,-121.935097,Central,"Carmel Bay SMCA",2007,2007-06-16,5,18,30,"purple urchin",,,0
Invertebrate,"Carmel River",36.539082,-121.935097,Central,"Carmel Bay SMCA",2007,2007-06-16,6,18,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-11-10,1,13,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-11-10,2,13,30,"purple urchin",,,1
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-11-10,3,13,30,"purple urchin",,,1
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-11-10,4,13,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-11-10,5,13,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-11-10,6,13,30,"purple urchin",,,1
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2006,2006-05-13,1,11,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2006,2006-05-13,2,11,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2006,2006-05-13,3,11,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2006,2006-05-13,4,11,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2006,2006-05-13,5,11,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2006,2006-05-13,6,11,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-05-31,1,13,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-05-31,2,13,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-05-31,3,13,30,"purple urchin",,,9
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-05-31,4,13,30,"purple urchin",,,1
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-05-31,5,13,30,"purple urchin",,,0
Invertebrate,"Casino Point",33.349167,-118.324966,South,"Casino Point (Catalina Island) SMCA",2007,2007-05-31,6,13,30,"purple urchin",,,0
Invertebrate,"Cathedral Cove",34.016499,-119.368385,South,"Anacapa Island Special Closure",2006,2006-06-23,1,7,15,"purple urchin",,,49
Invertebrate,"Cathedral Cove",34.016499,-119.368385,South,"Anacapa Island Special Closure",2006,2006-06-23,2,7,30,"purple urchin",,,17
Invertebrate,"Cathedral Cove",34.016499,-119.368385,South,"Anacapa Island Special Closure",2006,2006-06-23,3,7,30,"purple urchin",,,11
Invertebrate,"Cathedral Cove",34.016499,-119.368385,South,"Anacapa Island Special Closure",2006,2006-06-23,4,7,30,"purple urchin",,,47
Invertebrate,"Cathedral Cove",34.016499,-119.368385,South,"Anacapa Island Special Closure",2006,2006-06-23,5,7,30,"purple urchin",,,29
Invertebrate,"Cathedral Cove",34.016499,-119.368385,South,"Anacapa Island Special Closure",2006,2006-06-23,6,7,30,"purple urchin",,,19
Invertebrate,"Christmas Tree Cove",33.760399,-118.421051,South,"Point Vicente SMCA",2007,2007-11-18,1,10,4,"purple urchin",,,50
Invertebrate,"Christmas Tree Cove",33.760399,-118.421051,South,"Point Vicente SMCA",2007,2007-11-18,2,10,30,"purple urchin",,,43
Invertebrate,"Christmas Tree Cove",33.760399,-118.421051,South,"Point Vicente SMCA",2007,2007-11-18,3,10,30,"purple urchin",,,0
Invertebrate,"Christmas Tree Cove",33.760399,-118.421051,South,"Point Vicente SMCA",2007,2007-11-18,4,10,30,"purple urchin",,,42
Invertebrate,"Christmas Tree Cove",33.760399,-118.421051,South,"Point Vicente SMCA",2007,2007-11-18,5,10,30,"purple urchin",,,2
Invertebrate,"Christmas Tree Cove",33.760399,-118.421051,South,"Point Vicente SMCA",2007,2007-11-18,6,10,30,"purple urchin",,,50
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2006,2006-06-11,1,11,30,"purple urchin",,,1
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2006,2006-06-11,2,11,30,"purple urchin",,,3
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2006,2006-06-11,3,11,30,"purple urchin",,,2
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2006,2006-06-11,4,11,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2006,2006-06-11,5,11,30,"purple urchin",,,3
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2006,2006-06-11,6,11,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-06-09,1,5,30,"purple urchin",,,1
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-06-09,2,5,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-06-09,3,5,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-06-09,4,5,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-06-09,5,5,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-06-09,6,5,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-08-15,1,9,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-08-15,2,9,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-08-15,3,9,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-08-15,4,9,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-08-15,5,9,30,"purple urchin",,,0
Invertebrate,"Coral St Lucus Pt",36.637768,-121.923218,Central,"Pacific Grove Marine Gardens SMCA",2007,2007-08-15,6,9,30,"purple urchin",,,0
Invertebrate,"East Point",33.943966,-119.964783,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,1,10,30,"purple urchin",,,0
Invertebrate,"East Point",33.943966,-119.964783,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,2,10,4,"purple urchin",,,50
Invertebrate,"East Point",33.943966,-119.964783,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,3,10,19,"purple urchin",,,50
Invertebrate,"East Point",33.943966,-119.964783,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,4,10,10,"purple urchin",,,50
Invertebrate,"East Point",33.943966,-119.964783,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,5,10,10,"purple urchin",,,50
Invertebrate,"East Point",33.943966,-119.964783,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,6,10,20,"purple urchin",,,50
Invertebrate,"Elk Ridge",33.953335,-119.969086,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,1,9,2,"purple urchin",,,50
Invertebrate,"Elk Ridge",33.953335,-119.969086,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,2,9,2,"purple urchin",,,50
Invertebrate,"Elk Ridge",33.953335,-119.969086,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,3,9,19,"purple urchin",,,50
Invertebrate,"Elk Ridge",33.953335,-119.969086,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,4,9,2,"purple urchin",,,50
Invertebrate,"Elk Ridge",33.953335,-119.969086,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,5,9,12,"purple urchin",,,50
Invertebrate,"Elk Ridge",33.953335,-119.969086,South,"Skunk Point (Santa Rosa Island) SMR",2007,2007-08-11,6,9,3,"purple urchin",,,50
Invertebrate,"Ft Ross",38.510601,-123.245064,"North C","Gerstle Cove SMR",2007,2007-08-14,1,9,30,"purple urchin",,,0
Invertebrate,"Ft Ross",38.510601,-123.245064,"North C","Gerstle Cove SMR",2007,2007-08-14,2,9,30,"purple urchin",,,5
Invertebrate,"Ft Ross",38.510601,-123.245064,"North C","Gerstle Cove SMR",2007,2007-08-14,3,9,30,"purple urchin",,,6
Invertebrate,"Ft Ross",38.510601,-123.245064,"North C","Gerstle Cove SMR",2007,2007-08-14,4,9,30,"purple urchin",,,0
Invertebrate,"Ft Ross",38.510601,-123.245064,"North C","Gerstle Cove SMR",2007,2007-08-14,5,9,30,"purple urchin",,,2
Invertebrate,"Ft Ross",38.510601,-123.245064,"North C","Gerstle Cove SMR",2007,2007-08-14,6,9,30,"purple urchin",,,8
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-10-13,1,4,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-10-13,2,4,30,"purple urchin",,,1
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-10-13,3,4,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-10-13,4,4,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-10-13,5,4,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-10-13,6,4,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2006,2006-11-04,1,5,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2006,2006-11-04,2,5,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2006,2006-11-04,3,5,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2006,2006-11-04,4,5,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2006,2006-11-04,5,5,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2006,2006-11-04,6,5,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-03-10,1,3,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-03-10,2,3,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-03-10,3,3,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-03-10,4,3,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-03-10,5,3,30,"purple urchin",,,0
Invertebrate,"Gerstle Cove",38.56646,-123.329964,"North C","Gerstle Cove SMR",2007,2007-03-10,6,3,30,"purple urchin",,,0
Invertebrate,"Hawthorne Reef",33.747002,-118.415886,South,"Point Vicente SMCA",2007,2007-09-15,1,10,10,"purple urchin",,,50
